"OWNER","OBJECT_NAME","OBJECT_TYPE"
"PUBLIC","ALL_ATTRIBUTE_DIM_ATTR_CLASS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_ATTR_CLS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_ATTR_CLS_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_CLASS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_CLASS_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_JN_PTHS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_JN_PTHS_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_JOIN_PATHS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_KEYS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_KEYS_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_LEVELS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_LEVELS_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_LEVEL_ATTRS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_LVL_ATRS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_LVL_ATRS_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_LVL_CLASS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_LVL_CLS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_LVL_CLS_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_ORDER_ATTRS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_ORD_ATRS","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_ORD_ATRS_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_TABLES","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_DIM_TABLES_AE","SYNONYM"
"PUBLIC","ALL_ATTRIBUTE_TRANSFORMATIONS","SYNONYM"
"PUBLIC","ALL_AUDIT_POLICIES","SYNONYM"
"PUBLIC","ALL_AUDIT_POLICY_COLUMNS","SYNONYM"
"PUBLIC","ALL_AWS","SYNONYM"
"PUBLIC","ALL_AW_PS","SYNONYM"
"PUBLIC","ALL_BASE_TABLE_MVIEWS","SYNONYM"
